id,inflection-gc,inflection-cc,elastica-gc,elastica-cc,area-similarity
785,213,99,345.013,14.9702,0.85
1584,144,70,273.815,6.97638,0.97
2149,98,34,125.254,5.19085,0.97
2592,82,46,11.5205,4.8588,0.96
7784,49,30,10.701,5.06235,0.99
7816,161,59,135.463,17.0855,0.84
8532,146,35,356.912,5.45689,0.94
10363,121,54,56.9185,5.24705,0.89
12639,124,68,23.5288,9.0007,0.94
15746,150,90,41.0496,12.4482,0.97
17031,107,62,27.1992,9.73937,0.99
18519,136,32,382.898,6.0862,0.74
20247,146,47,152.009,6.09271,0.95
20333,213,126,62.0846,17.8128,0.97
23359,71,52,87.4025,5.94035,0.89
25393,84,74,62.9987,7.38053,0.71
29393,118,36,36.3432,11.0087,0.92
30494,100,40,60.4396,6.30237,0.81
39769,232,84,38.3485,10.0903,0.96
40036,213,122,63.6594,11.3359,0.94
41990,106,40,43.653,6.01027,0.9
43816,126,50,70.1335,6.25026,0.96
44652,110,22,120.78,3.15822,0.2
44699,55,20,25.5532,3.36909,0.12
46804,180,68,32.7047,7.941,0.96
46872,74,36,20.8237,3.54391,0.49
48924,102,82,33.364,7.34604,0.91
50638,104,49,25.6663,5.48238,0.82
50679,26,2,33.0002,2.10292,0.98
50811,199,92,169.214,7.66968,0.94
51610,113,96,309.623,13.5079,0.79
52017,89,58,135.56,7.22246,0.7
52462,114,59,30.6294,8.23993,0.39
52565,151,72,207.176,12.3423,0.9
54123,302,116,78.9956,15.273,0.93
55950,135,90,44.9798,10.3128,0.73
65736,179,96,97.8713,14.3894,0.88
82846,99,60,109.102,10.2466,0.96
95843,107,92,106.845,5.94732,0.98
96549,105,68,69.6454,8.28588,0.87
101420,52,30,12.1869,3.28484,0.74
102331,180,42,170.455,13.7594,0.83
102820,190,117,214.857,10.1906,0.94
104619,178,121,41.3324,15.2447,0.94
106330,275,97,153.033,5.95899,0.94
106881,60,22,50.5978,2.33649,0.93
109827,128,89,41.5563,6.32654,0.92
109900,70,24,70.7209,4.06407,0.91
110359,41,56,17.4064,7.05458,0.67
112798,178,82,115.73,5.52945,0.97
112997,121,75,228.349,6.02275,0.98
114871,133,97,51.9006,9.45108,0.95
117197,126,47,74.5677,5.37559,0.95
118209,245,116,99.9357,14.8355,0.96
118367,96,67,50.1422,6.28408,0.9
119233,179,58,52.2376,5.8252,0.94
119677,105,16,45.6925,2.4273,0.78
122046,154,87,254.512,8.87827,0.86
122927,117,45,129.086,6.31277,0.75
123213,131,54,104.804,7.55072,0.94
125405,120,35,129.969,4.9964,0.96
126107,136,90,68.3538,8.05521,-0.05
128654,172,104,90.2128,9.97475,0.6
129113,172,87,30.3152,6.74649,0.94
134689,282,122,66.7808,19.0415,0.95
135902,122,120,74.3797,9.83967,0.97
138115,66,23,11.6996,2.8355,0.97
138492,322,137,196.848,12.9069,0.97
139872,242,86,44.3026,7.66126,0.95
142324,77,30,65.043,2.56629,0.85
142585,44,37,19.1009,2.97187,0.92
143961,113,70,25.6149,8.46255,0.81
144114,144,113,80.5168,13.736,0.69
144300,109,162,73.585,14.4968,0.95
144333,97,104,47.9461,8.07687,0.87
145591,151,54,72.2608,5.32751,0.88
145620,94,26,62.3173,12.6889,0.81
147725,53,27,111.888,2.3361,0.93
148707,14,8,6.1167,1.80089,0.96
148719,133,58,48.1262,8.77948,0.95
148957,81,34,34.5435,4.0971,0.91
149568,363,87,104.318,13.473,0.95
149622,80,21,16.5585,2.36801,0.93
151516,58,42,25.6899,4.60362,0.81
152120,136,42,90.4886,9.42255,0.96
153299,252,149,96.9677,17.6131,0.59
153343,173,117,101.139,9.46485,0.67
154947,91,123,121.791,8.79919,0.91
155291,198,118,95.8535,10.7955,0.93
155341,57,39,25.6319,3.29335,0.93
155571,210,143,31.0208,16.1199,0.88
157365,128,52,80.016,6.42895,0.7
158945,262,92,67.0022,10.3411,0.95
158956,181,84,222.06,8.31552,0.88
160772,157,52,165.176,7.51924,0.89
161032,157,26,142.86,5.7244,0.89
167902,104,82,86.3403,7.59539,0.61
172595,111,90,65.7925,14.0106,0.9
172977,435,147,112.866,16.9505,0.95
173091,125,76,24.4943,6.28866,0.88
175443,157,38,54.9668,5.97569,0.88
1425,195,76,526.387,6.76359,0.87
2157,94,49,155.416,3.35951,0.92
3501,97,32,57.1489,2.89458,0.87
5600,60,39,65.8909,3.24026,0.99
6614,39,0,14.4703,1.70506,0.93
8629,61,56,27.7156,6.10495,0.98
13597,164,75,169.357,5.94246,0.95
15254,31,19,24.0374,2.30643,0.95
18575,116,42,29.1896,4.95841,0.92
19221,188,128,90.9474,16.2374,0.91
24567,39,13,41.0154,1.46707,0.93
27696,188,69,121.681,5.63675,0.98
29675,116,46,132.389,3.49554,0.96
724,37,10,7.10257,1.46803,0.95
11511,40,24,19.2513,2.05243,0.88
15272,52,59,18.4863,4.01304,0.96
20107,101,49,44.8979,4.93684,0.97
26926,146,106,54.8648,14.1988,0.98
28993,60,65,10.5869,4.87707,0.91
29397,166,116,91.4462,16.2511,0.76
29984,68,42,9.1806,4.31253,0.97
36861,50,19,10.5377,2.02186,0.93
53994,85,100,121.775,5.0565,0.98
64495,34,21,131.253,2.64303,0.91
67896,95,14,17.6238,3.06084,0.94
84477,97,92,125.355,6.89195,0.84
98716,94,84,287.043,18.3219,0.25
885,16,24,22.3827,2.05288,0.78
14439,92,76,56.8505,8.2534,0.95
21879,50,27,13.2332,2.2613,0.81
22479,70,27,23.5011,3.04572,0.96
22935,41,18,41.0739,1.68655,0.96
32081,30,9,18.2761,1.88519,0.72
32735,62,32,83.2597,3.27814,0.64
39480,34,42,5.17314,2.83387,0.91
52507,32,10,98.7844,1.98252,0.94
54592,74,54,136.314,8.69409,0.88
68628,58,20,61.1489,1.7286,0.43
72281,60,24,33.0443,3.14232,0.88
74200,107,35,108.835,4.86638,0.96
85665,72,57,80.5601,7.39963,0.19
121673,30,12,21.4722,2.03694,0.96
132544,29,26,12.852,2.58471,0.43
132703,35,22,47.3332,2.58394,0.81
153669,32,12,44.9991,2.7813,0.51
7818,50,32,46.1006,3.8783,0.71
12576,42,13,9.69749,1.4771,0.88
17714,10,21,45.7116,1.9188,0.97
25986,23,6,4.66602,1.06741,0.96
30213,45,23,18.7525,3.86122,0.94
47112,48,15,14.2128,1.99514,0.73
52996,41,28,43.4259,3.45374,0.95
79651,104,43,89.0401,4.49971,0.8
84241,45,25,32.1118,2.44121,0.94
91615,37,34,98.9639,2.89435,0.96
92053,51,38,85.5716,3.7965,0.071
97022,9,14,3.06283,1.52247,0.61
102707,97,50,182.608,4.10557,0.95
104669,30,33,25.7523,3.30426,0.7
109976,101,41,523.191,9.39574,0.9
116206,53,16,26.7741,2.1059,0.9
136355,65,39,19.1955,6.17203,0.91
1993,36,40,69.63,9.94417,0.7
4495,68,35,18.6143,5.17385,0.94
16958,70,30,64.051,4.43529,0.92
21465,32,22,13.8442,1.84747,0.68
24610,29,10,30.6246,2.37123,0.83
27620,115,72,79.8846,10.1172,0.92
29596,34,36,9.3222,4.50217,0.98
31248,28,21,3.53399,1.39683,0.96
31735,71,53,39.7188,6.72527,0.98
39477,46,18,9.07453,2.77828,0.94
41872,42,10,47.9953,1.45606,0.92
47769,31,12,3.01948,2.32857,0.89
50828,80,55,26.8975,6.37561,0.98
68833,37,19,26.8693,3.19494,0.97
74209,35,18,20.5702,2.95373,0.8
81061,141,38,174.113,5.38346,0.97
27982,30,78,44.544,6.89646,0.96
32285,30,22,14.1697,3.16176,0.96
34760,7,16,57.7224,1.81851,0.94
35770,172,52,156.362,5.34281,0.89
38070,42,35,118.94,3.89074,0.98
66841,112,68,82.3692,9.04337,0.94
104572,18,20,24.0759,2.7141,0.88
127182,10,17,24.4425,2.37788,0.98
136466,48,91,141.481,8.59137,0.98
1296,33,12,172.197,1.55712,0.82
9400,64,32,51.9231,3.44485,0.9
13659,39,18,29.3428,2.20935,0.85
36660,22,10,13.0908,0.830154,0.82
52413,50,26,62.0165,2.95452,0.92
53909,70,42,20.5106,5.39944,0.97
66635,56,50,185.08,5.57431,0.98
97337,7,5,10.9167,2.98525,0.99
120420,44,32,11.2118,2.98207,0.9
19742,105,26,147.45,3.26351,0.93
23023,129,32,89.0506,5.4265,0.91
31050,72,33,45.9308,3.24162,0.94
32610,102,52,46.2636,3.9023,0.88
95786,51,18,166.799,2.37277,0.87
96001,169,84,39.8919,5.82786,0.84
99182,58,22,71.0877,3.17685,0.95
112626,67,55,84.2973,5.82747,0.93
132375,44,26,25.1506,2.79173,0.93
154431,27,16,4.88948,2.33236,0.86
161008,279,109,133.608,13.5009,0.91
167240,58,36,163.744,4.15447,0.89
180751,52,20,56.8615,2.88265,0.87
213224,65,34,35.9385,3.07932,0.95
